,food,kind,fresh,parking,price,clean,satisfaction
키다리횟집,33,17,20,10,9,12,3.52
화덕본가,52,19,13,4,2,10,3.48
미주뚝배기,45,18,20,3,7,7,3.5
전원아구찜,60,17,10,0,13,0,3.81
성심농장가든,36,21,14,17,5,6,3.32
물꽁식당,43,23,12,2,15,4,3.83
두루춘풍,46,16,16,16,3,3,3.96
맛찬들왕소금구이옥포점,64,15,14,0,4,4,3.42
자갈마당식당,57,36,0,0,7,0,4.15
참숯골,47,24,17,3,6,4,3.59
솔밭가든,31,17,23,21,4,4,3.78
감나무집,34,21,24,14,0,7,3.82
풍년복집,43,21,21,0,14,0,3.71
남다른감자탕,44,27,3,9,8,9,3.63
건계정,50,0,0,0,25,25,3.43
송화관,54,13,9,9,12,4,3.45
애우전문점거창축협한우팰리스,36,9,28,12,12,4,3.8
영생각,62,18,8,0,6,6,3.53
임진각(진해),52,18,10,0,10,9,3.52
정든집,55,16,17,7,6,0,4.08
부자돼지,44,22,17,3,10,5,4.24
아자방,32,26,6,16,0,19,3.89
맛있는생오리,53,16,8,7,7,9,4.07
대원철뚝집,46,15,15,15,8,0,3.97
모이세삼겹살,52,10,19,0,10,10,3.92
혜성식당,44,19,19,6,7,6,4.09
약천메기탕,46,13,13,13,9,7,3.95
와사비,41,27,14,7,7,5,4.25
노렌스시,47,18,17,0,0,18,3.84
봉래식당,51,20,6,0,9,14,4.25
갈비도사,49,19,11,0,11,11,4.21
진우숯불갈비,44,29,12,0,7,7,4.34
천지연횟집,40,20,23,0,7,10,4.06
청해대복,36,15,11,14,7,17,3.8
참하누,40,13,18,9,17,3,4.18
짜장박사,50,13,15,6,13,2,4.15
고래불해물찜,56,17,11,6,6,6,4.11
합천명품토종흑돼지,55,5,9,18,14,0,3.97
판문점(팔용동),42,19,13,6,10,10,4.16
독불장군,50,20,10,7,7,7,4.16
계룡산숯불갈비장승포점,45,16,8,5,17,10,4.33
금오암소한마당,46,9,9,22,9,5,3.8
마당있는집(합성동),46,23,8,8,0,15,3.96
삼도왕족발보쌈,54,20,15,0,5,7,4.09
그바다에가면,46,17,13,6,11,6,4.13
진송추어탕(양산),48,12,7,17,4,13,3.71
금별식당,47,24,0,0,29,0,5
이화가든,59,7,14,14,0,7,3.59
한우촌(마산),47,3,16,19,3,13,3.35
숯불한판석동점,47,12,10,14,13,4,3.99
남해일식,38,24,13,1,5,19,4.05
만다린,52,22,4,0,11,11,4.3
황금고디탕,41,19,10,11,9,11,4.02
어드메,53,14,13,2,10,8,4.05
신라해장국(양산),73,27,0,0,0,0,4.42
수정숯불갈비,44,31,12,0,12,2,4.59
촌놈횟집,40,18,24,2,15,0,4.16
비비돈까스,38,17,14,7,10,13,4.01
토담고디탕,48,19,13,3,13,4,4.26
개성순대,45,15,10,16,6,9,3.88
민물고기식당,53,15,17,6,6,3,3.97
생우림,28,27,24,12,0,9,3.82
남다른감자탕고현점,43,27,9,2,9,9,4.34
대식한우명가,41,10,16,16,13,4,3.84
국일성,53,14,17,4,8,4,3.99
백우숯불갈비,63,10,13,3,10,0,3.98
망경식육식당,54,8,7,8,19,3,4.17
강가명가(진주본점),56,15,6,12,11,0,4.1
진주냉면(상대동),42,17,16,4,9,13,4.02
파피쉪,37,13,13,22,8,8,3.72
종정헌,43,14,15,16,5,8,3.75
생포갈비,54,21,11,0,7,7,4.16
원주특수통닭가좌점,53,19,9,6,3,9,3.97
한려숯불갈비,70,9,7,9,2,2,3.77
백프로갈비,39,16,13,14,0,17,3.57
다미정숯불갈비,46,22,10,0,12,10,4.29
남해향촌,9,27,22,21,13,10,4.05
수미정식당,32,12,20,12,20,4,4.03
가마솥추어탕,44,18,7,18,5,7,3.84
향우본가(식육식당),48,14,12,16,6,5,3.8
원조꽃게탕,90,0,6,0,3,0,3.76
고현장어,44,25,22,3,3,3,4.08
송강민물매운탕,39,21,13,20,5,2,3.93
유정숯불갈비,38,25,9,2,10,16,4.17
개성삼계탕,48,15,10,13,6,7,3.83
삼천포추어탕,56,13,13,6,6,6,3.84
보리네생고깃간(고현점),48,18,18,2,6,8,3.99
우포한우프라자,41,15,9,21,11,4,3.92
외양간구시,45,16,20,5,5,9,3.85
금화,52,21,11,2,5,9,4.08
생초메기탕,47,23,13,2,11,4,4.25
중동식당,52,21,12,0,3,12,4.02
소정숯불갈비,50,20,14,0,8,9,4.15
유림산천식당,43,14,24,5,14,0,4.04
남촌칼국수,53,16,10,3,13,4,4.15
향토집,47,14,28,0,6,6,3.82
남양토담오리,53,12,12,13,8,3,3.86
거창복어,40,20,18,5,5,13,3.86
백두봉삼계탕,59,9,13,13,3,3,3.66
백제령삼계탕,50,17,13,12,0,8,3.71
섬마을,42,17,7,15,6,13,3.82
태산만두2,54,14,10,0,19,3,4.35
서울설렁탕(상대동),45,12,5,23,9,6,3.86
대영장어,55,10,22,4,10,0,3.88
초당돼지국밥,56,9,15,9,9,3,3.82
석정숯불갈비,54,13,17,0,17,0,4.24
솔향오리농원,50,9,9,18,14,0,3.9
청수정,40,21,17,10,5,7,3.91
석정숯불갈비,54,13,17,0,17,0,4.22
창녕대가,47,18,16,13,0,5,3.78
농월초계탕,38,15,23,15,8,0,3.77
삼가명품한우,39,12,19,20,6,3,3.61
소반(팔용동),47,14,8,13,9,10,3.91
주남오리알,46,13,18,14,4,5,3.66
경남복국,48,28,7,0,7,10,4.35
목포밴댕이,57,12,19,0,7,5,3.86
대가,40,22,12,16,0,10,3.82
소반,46,14,10,13,9,10,3.93
한옥산에산에,61,20,0,0,11,9,4.3
육거리곰탕,46,13,11,14,5,11,3.75
뚱보화로불고기칠암점,51,12,10,17,7,3,3.77
고성곱창,51,15,11,15,3,5,3.75
조바우가마솥추어탕,57,16,8,0,10,8,4.07
전통순대촌,55,10,10,14,8,4,3.83
주남오리궁(동읍),46,16,11,11,13,4,4.04
고기달인,58,16,10,0,13,3,4.18
진주집(사천),40,15,13,13,9,11,3.87
범어가마솥,59,17,15,4,5,0,3.99
양평해장국(함안),45,17,10,16,7,4,3.95
늘봄가든(고성),40,25,15,15,0,5,3.92
주남오리궁(동읍),46,16,11,11,13,4,4.06
설향꽃게찜,55,14,12,0,16,2,4.21
석정원숯불갈비,50,18,11,8,9,3,4.05
서울설렁탕(진주),60,9,6,12,9,4,3.86
은혜갈비,49,19,14,8,4,6,3.91
원산면옥,47,24,7,5,9,8,4.25
동화반점,59,17,5,1,17,1,4.43
대원군숯불갈비,42,20,8,10,11,10,4.1
섬진강식당,53,27,13,7,0,0,4.07
북경성,62,21,14,3,0,0,3.97
천년의비빔밥,51,15,10,5,13,5,4.14
포크밸리로스트,28,12,16,14,14,16,3.74
신풍식육식당,62,16,10,2,7,2,4.01
함양옻닭명곡점,92,0,0,0,8,0,3.84
대풍갈비살,50,21,25,4,0,0,3.86
함흥면옥,62,11,8,6,7,6,3.92
통영참복,44,15,26,3,8,5,3.86
장보고횟집,42,14,16,1,26,2,4.42
옥포막썰이회해물,29,19,26,3,13,10,3.93
사랑채(함안),38,18,15,17,8,3,3.85
우성갈비,64,15,9,0,8,4,4.08
백운식당,31,19,22,5,11,12,3.95
동해해물탕,43,13,9,14,7,14,3.71
할머니국밥집,54,12,14,4,12,4,4.03
원주특수통닭(동성동),63,18,5,0,10,5,4.19
용화찜,64,5,14,0,18,0,4.05
용화횟집,35,22,24,13,7,0,3.92
외포9번횟집,38,20,23,0,9,10,4.01
고현횟집,45,22,21,4,3,5,3.9
큰손짜장,48,19,5,21,6,0,3.91
쌍쌍식육식당,45,15,18,5,13,3,4.02
경복궁창원점,35,21,11,14,0,20,3.62
송화한정식,42,19,8,8,6,17,3.84
삼가한우소리,54,20,10,3,8,3,4.13
남옥식당,46,31,12,4,8,0,4.43
예다믄,35,16,19,14,7,9,3.73
거창가든,43,16,9,14,12,5,3.93
동방횟집,39,20,21,0,13,6,4.11
북면자연농원,57,15,15,11,2,0,3.78
바닷가에햇살한스푼,51,16,10,13,0,9,3.68
영도숯불갈비,62,21,8,0,3,8,4.1
옥계촌,43,14,14,29,0,0,3.54
신가음정횟집,39,19,28,0,11,3,3.97
동심,44,28,8,8,0,13,4.01
외포등대횟집,52,13,19,10,3,3,3.71
섬진강식당,43,24,8,11,3,11,3.96
하동솔잎한우프라자,31,11,24,19,8,7,3.55
갑을식당,53,13,11,3,15,6,4.06
갑을식당(함양),53,13,11,3,15,6,4.11
왕가옥,45,17,14,6,8,11,3.85
천지우식당,60,0,15,5,5,15,3.39
더하우스갑을,43,15,9,21,6,6,3.75
썬바다횟집,46,8,23,15,4,4,3.51
화림초밥,42,20,16,4,1,16,3.68
진부령황태구이,51,14,11,13,6,5,3.78
물장구식육식당,0,22,38,19,18,3,3.84
평사리한정식,20,20,20,0,20,20,4.1
황금나무숯불갈비,41,28,7,3,14,7,4.46
장원,49,15,11,19,0,6,3.58
무교동낙지(용원점),56,18,6,6,9,6,4.06
한방바다장어구이,58,8,21,0,8,4,3.77
박정현게장백반,44,19,17,5,11,5,4.07
양반청국장,44,12,10,15,13,6,3.83
보물선횟집,34,17,29,0,13,7,3.94
장독옛날손짜장,60,14,14,10,0,2,3.7
송원왕갈비,51,18,9,14,8,0,3.93
홍제원,52,10,11,14,7,8,3.64
가람생복,44,16,16,8,8,8,3.82
죽림산방,33,10,27,17,2,10,3.28
레아모,39,21,9,0,18,12,4.26
박영수손짜장,55,10,10,4,6,15,3.7
마당있는집(자은동),45,14,11,13,6,11,3.7
시루봉가든,66,11,16,0,8,0,3.93
신라아구찜,49,19,17,0,9,6,3.98
남강식당,26,22,7,0,41,4,4.94
지리산마천흑돼지,41,12,25,12,8,2,3.67
해훈식당,52,7,20,15,0,7,3.34
망경횟집,41,10,20,9,20,0,4
대가한우촌(무전동),54,14,14,0,9,9,3.94
조방낙지(양산),44,22,15,2,11,6,4.08
대보름생아구찜,53,7,33,0,7,0,3.56
진짜순대집,54,12,7,21,0,5,3.54
바우석쇠,46,20,17,2,12,2,4.13
24시남양돼지국밥,39,22,0,0,22,17,4.41
원조할매낙지,48,18,8,15,13,0,4.13
이가숯불갈비,28,38,7,3,17,7,4.7
낙동강칠백리,50,11,10,22,7,0,3.68
한양왕족발복어,38,15,8,23,15,0,3.97
영실한우프라자,40,8,11,27,6,6,3.4
담배집,38,9,11,33,0,9,3.22
경원궁&미나미,47,20,10,13,10,0,4.05
미소담,36,19,19,14,6,6,3.7
대웅,53,15,20,0,12,0,3.98
함흥집,59,9,11,16,0,6,3.51
고궁식육식당,41,17,12,19,12,0,3.91
경호강메기탕,45,19,9,12,3,12,3.72
아낙촌평거점,52,20,11,4,5,8,3.9
엄마손충무김밥,48,31,10,0,10,0,4.37
효진수산횟집,41,14,28,5,3,8,3.55
국보삼계탕,46,16,9,17,6,6,3.79
남해사랑채,44,14,11,15,12,4,3.88
조선옥삼계탕,50,21,7,7,0,14,3.75
우가촌,48,12,6,0,15,18,3.9
항남뚝배기,73,7,7,13,0,0,3.53
햇살복집,52,10,14,17,7,0,3.63
신화루,41,32,18,0,9,0,4.33
고궁,31,25,25,6,13,0,4.1
거구장,46,26,23,3,0,3,3.82
입소문맷돌순두부,46,12,12,18,10,2,3.74
풍운정,34,19,19,8,2,18,3.58
남해대청마루,39,37,16,0,8,0,4.34
동의약선관,39,17,28,16,0,0,3.49
향원식당,36,32,14,0,5,14,4.09
청풍갈비살,27,13,20,40,0,0,3.1
인혜돌곱창,50,19,8,12,8,4,3.86
청학산,43,10,15,15,18,0,3.76
삼산이수,43,15,4,28,7,4,3.57
남해어부림,34,19,19,8,8,12,3.62
풍전복집,55,14,14,0,9,9,3.66
